iter	Passed	Remaining
0	0	71
1	1	65
2	1	64
3	2	59
4	3	57
5	3	56
6	4	55
7	4	54
8	5	53
9	5	52
10	6	52
11	7	51
12	7	51
13	8	50
14	8	49
15	9	49
16	9	48
17	10	47
18	11	46
19	11	46
20	12	45
21	12	44
22	13	44
23	13	43
24	14	43
25	14	42
26	15	41
27	16	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	38
33	19	37
34	19	37
35	20	36
36	21	35
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	27	29
48	27	28
49	28	28
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	31	24
57	32	23
58	33	22
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	38	18
67	38	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	45	11
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	53	3
93	53	3
94	54	2
95	54	2
96	55	1
97	55	1
98	56	0
99	57	0
